spines p_solved order yescnt
2 0.8936170212765957 dfs 141
2 0.6595744680851063 bfs 141
3 0.924119241192412 dfs 1107
3 0.7028003613369467 bfs 1107
4 0.8661029647864712 dfs 9343
4 0.6504334796104035 bfs 9343
5 0.8107891095958099 dfs 80952
5 0.6009981223441051 bfs 80952
6 0.7588995234494925 dfs 698352
6 0.5544983045799253 bfs 698352
7 0.7094324075268039 dfs 6041183
7 0.5115764577898071 bfs 6041183
