size dfstime clsspines
42 57.2234039727744 no7
43 56.12782152230971 yes6
43 54.74937354988399 no6
43 59.43583677275632 yes7
43 58.12767312610663 no7
44 54.48137535816619 yes6
44 53.50561797752809 no6
44 57.55844020072484 yes7
44 56.02439791399146 no7
45 54.42956204379562 no6
45 58.653637042038305 yes7
45 57.01314321213745 no7
46 59.70117320550019 yes7
46 58.014243350582014 no7
47 60.7328132927448 yes7
47 59.029850475841044 no7
48 62.76865167454879 yes7
48 63.43352438480283 no7
49 62.24649963154016 yes7
49 63.8856071964018 no7
50 62.671786531743166 no7
